,direction,speed
897,140.0,4.0
898,320.0,1.0
899,140.0,2.0
900,180.0,1.0
901,250.0,1.0
902,270.0,3.0
903,180.0,1.0
904,180.0,1.0
905,20.0,5.0
906,50.0,3.0
907,20.0,6.0
908,250.0,5.0
909,360.0,1.0
910,90.0,4.0
911,250.0,4.0
912,320.0,1.0
913,270.0,3.0
914,320.0,1.0
915,270.0,8.0
916,140.0,2.0
917,220.0,2.0
918,200.0,2.0
919,160.0,5.0
920,230.0,3.0
921,360.0,2.0
922,70.0,1.0
923,270.0,2.0
924,270.0,1.0
925,50.0,3.0
926,320.0,3.0
927,320.0,2.0
928,180.0,1.0
929,230.0,3.0
930,180.0,3.0
931,220.0,2.0
932,290.0,3.0
933,140.0,2.0
934,250.0,2.0
935,70.0,2.0
936,360.0,1.0
937,320.0,2.0
938,320.0,1.0
939,140.0,2.0
940,290.0,1.0
941,90.0,3.0
942,360.0,2.0
943,340.0,2.0
944,220.0,6.0
945,50.0,4.0
946,250.0,5.0
947,360.0,3.0
948,90.0,1.0
949,270.0,4.0
950,50.0,5.0
951,270.0,1.0
952,360.0,1.0
953,250.0,2.0
954,180.0,2.0
955,70.0,2.0
956,230.0,4.0
957,70.0,4.0
958,160.0,2.0
959,270.0,6.0
960,50.0,5.0
961,250.0,3.0
962,250.0,1.0
963,230.0,2.0
964,220.0,5.0
965,70.0,2.0
966,270.0,1.0
967,320.0,2.0
968,220.0,3.0
969,200.0,3.0
970,160.0,3.0
971,180.0,1.0
972,160.0,1.0
973,200.0,2.0
974,200.0,2.0
975,90.0,2.0
976,110.0,4.0
977,90.0,3.0
978,220.0,4.0
979,140.0,2.0
980,90.0,4.0
981,250.0,7.0
982,140.0,2.0
983,70.0,3.0
984,70.0,1.0
985,160.0,2.0
986,110.0,2.0
987,50.0,4.0
988,50.0,3.0
989,270.0,2.0
990,250.0,8.0
991,160.0,4.0
992,320.0,1.0
993,340.0,3.0
994,270.0,4.0
995,180.0,3.0
996,230.0,1.0
997,270.0,3.0
998,70.0,2.0
999,40.0,2.0
1000,20.0,2.0
1001,320.0,3.0
1002,270.0,2.0
1003,270.0,1.0
1004,90.0,3.0
1005,50.0,5.0
1006,50.0,2.0
1007,250.0,3.0
1008,140.0,3.0
1009,200.0,6.0
1010,50.0,2.0
1011,140.0,1.0
1012,50.0,3.0
1013,320.0,3.0
1014,270.0,3.0
1015,340.0,2.0
1016,90.0,2.0
1017,50.0,2.0
1018,220.0,2.0
1019,90.0,2.0
1020,360.0,1.0
1021,220.0,3.0
1022,320.0,3.0
1023,90.0,2.0
1024,50.0,1.0
1025,110.0,1.0
1026,360.0,3.0
1027,290.0,3.0
1028,140.0,3.0
1029,270.0,4.0
1030,250.0,11.0
1031,40.0,1.0
1032,110.0,2.0
1033,50.0,3.0
1034,290.0,1.0
1035,320.0,2.0
1036,320.0,2.0
1037,50.0,2.0
1038,360.0,2.0
1039,250.0,1.0
1040,250.0,7.0
1041,110.0,1.0
1042,220.0,1.0
1043,250.0,2.0
1044,270.0,3.0
1045,270.0,3.0
1046,250.0,5.0
1047,270.0,5.0
1048,270.0,1.0
1049,140.0,3.0
1050,220.0,5.0
1051,50.0,1.0
1052,90.0,5.0
1053,360.0,1.0
1054,340.0,3.0
1055,320.0,2.0
1056,270.0,1.0
1057,90.0,3.0
1058,90.0,1.0
1059,70.0,1.0
1060,320.0,4.0
1061,180.0,2.0
1062,320.0,3.0
1063,320.0,3.0
1064,320.0,2.0
1065,50.0,1.0
1066,220.0,2.0
1067,50.0,3.0
1068,270.0,1.0
1069,360.0,1.0
1070,230.0,1.0
1071,50.0,5.0
1072,230.0,4.0
1073,180.0,2.0
1074,200.0,2.0
1075,70.0,3.0
1076,140.0,2.0
1077,230.0,1.0
1078,320.0,3.0
1079,50.0,2.0
1080,270.0,2.0
1081,180.0,2.0
1082,20.0,2.0
1083,90.0,2.0
1084,320.0,2.0
1085,250.0,3.0
1086,360.0,1.0
1087,90.0,1.0
1088,270.0,1.0
1089,250.0,3.0
1090,50.0,2.0
1091,270.0,3.0
1092,340.0,1.0
1093,180.0,3.0
1094,110.0,2.0
1095,90.0,3.0
1096,50.0,1.0
1097,50.0,3.0
1098,200.0,2.0
1099,320.0,1.0
1100,110.0,4.0
1101,110.0,1.0
1102,250.0,2.0
1103,250.0,2.0
1104,50.0,2.0
1105,140.0,3.0
1106,50.0,4.0
1107,160.0,2.0
1108,50.0,2.0
1109,320.0,1.0
1110,50.0,2.0
1111,140.0,3.0
1112,160.0,2.0
